Gene	Protein	Uniprot id	Pfam ID	Start End domain	Part of evolutionary analysis	classification (Fig 1C)
ENSG00000167359	ENSP00000369559	Q9H343	PF13853	33-312	0	Non-PRD proteins
ENSG00000176302	ENSP00000314806	Q6PIV2	PF00250	172-262	0	Non-PRD proteins
ENSG00000138768	ENSP00000264904	O60763	PF04869;PF04871;PF18770	344-628;784-954;269-329	1	Viral-binding non-PRDs
ENSG00000281935	ENSP00000488646	A0A0J9YY17	PF12780;PF12774;PF03028;PF12775;PF12781;PF18198;PF17857;PF08393;PF12777;PF17852;PF18199	1498-1757;519-845;2598-2711;1141-1322;2131-2352;2725-2889;1353-1452;2-384;1770-2107;1002-1136;2895-3193	0	Non-PRD proteins
ENSG00000280529	ENSP00000487182	A0A0G2JRY5	PF05236;PF07531	206-454;1-55	0	Non-PRD proteins
ENSG00000072571	ENSP00000428481	E5RI30	PF15905	1-101	1	Non-PRD proteins
ENSG00000138050	ENSP00000423933	Q9BTF0	PF01170;PF02926	272-433;120-263	0	Non-PRD proteins
ENSG00000166839	ENSP00000325895	Q495B1	PF13857;PF13637;PF12796;PF12796;PF12796	312-364;159-212;19-121;116-189;316-384	0	Non-PRD proteins
ENSG00000219073	ENSP00000338369	P08861	PF00089	29-263	0	PRD proteins
ENSG00000120440	ENSP00000239587	Q9BWV7	PF03133	131-423	0	Non-PRD proteins
ENSG00000221855	ENSP00000386201	P59536	PF05296	1-302	0	Non-PRD proteins
ENSG00000002586	ENSP00000370588	P14209	PF12301	33-181	0	Viral-binding non-PRDs
ENSG00000009844	ENSP00000356602	Q9NP79	PF04652;PF18097	16-158;266-303	0	Non-PRD proteins
ENSG00000176102	ENSP00000431355	E9PLP8	PF05843	407-681	1	Viral-binding non-PRDs
ENSG00000151812	ENSP00000342518	A4IF30	PF06027	252-471	1	Non-PRD proteins
ENSG00000139624	ENSP00000325485	Q8N5B7	PF00046;PF03798	83-135;140-333	1	PRD proteins
ENSG00000124721	ENSP00000333363	A0A075B6F3	PF12780;PF12774;PF03028;PF12775;PF12781;PF18198;PF17857;PF08393;PF08385;PF12777;PF17852;PF18199	3007-3269;2025-2352;4122-4232;2634-2815;3656-3877;4246-4402;2849-2944;1485-1890;356-910;3282-3632;2507-2627;4408-4704	0	Non-PRD proteins
ENSG00000115504	ENSP00000263991	Q8NDI1	PF10358;PF00307;PF12130	12-165;443-549;1074-1210	0	Non-PRD proteins
ENSG00000228567	ENSP00000310856	Q7Z5H5	PF03402	33-297	0	Non-PRD proteins
ENSG00000205929	ENSP00000371810	H7BYF8	PF15137	57-266	1	Non-PRD proteins
ENSG00000100726	ENSP00000262319	Q9Y4R8	PF10193	512-620	1	Viral-binding non-PRDs
ENSG00000198551	ENSP00000354414	Q7L945	PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	167-189;195-217;335-357;391-413;419-441;3-44	0	Non-PRD proteins
ENSG00000145949	ENSP00000274643	Q86YV6	PF00069	106-361	0	PRD proteins
ENSG00000145888	ENSP00000411593	P23415	PF02931;PF02932	38-248;255-405	1	Non-PRD proteins
ENSG00000164972	ENSP00000297623	Q8NCR6	PF15181	1-262	0	Non-PRD proteins
ENSG00000266286	ENSP00000459798	A0A140TA64	PF13885;PF13885;PF13885;PF13885;PF13885	34-78;54-98;79-123;89-133;99-143	0	Non-PRD proteins
ENSG00000205426	ENSP00000369349	Q14533	PF00038;PF16208	105-416;1-102	0	Viral-binding non-PRDs
ENSG00000283723	ENSP00000492549	A0A1W2PRZ1	PF00047;PF00047	32-115;132-213	0	Non-PRD proteins
ENSG00000005102	ENSP00000321684	P50221	PF00046	172-228	1	PRD proteins
